# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.569049000740051270e-01 2.191408723592758179e-01 1.024309039115905762e+00
1.000000000000000000e+03 6.676233024336397648e-04 5.612138775177299976e-04 5.183624103665351868e-02
2.000000000000000000e+03 3.913050750270485878e-05 8.051931217778474092e-05 1.963447593152523041e-02
3.000000000000000000e+03 2.205861164839006960e-05 5.941038034507073462e-05 1.686554774641990662e-02
4.000000000000000000e+03 1.298724873777246103e-05 5.454587881104089320e-05 1.616032980382442474e-02
5.000000000000000000e+03 6.142448546597734094e-05 1.062364099198020995e-04 2.255309000611305237e-02
6.000000000000000000e+03 3.145579285046551377e-06 3.467193164397031069e-05 1.288422476500272751e-02
7.000000000000000000e+03 2.062452949758153409e-06 3.122068665106780827e-05 1.222617272287607193e-02
8.000000000000000000e+03 1.350717320747207850e-05 4.385012289276346564e-05 1.448954176157712936e-02
9.000000000000000000e+03 1.655187952565029263e-05 4.752970198751427233e-05 1.508522592484951019e-02
1.000000000000000000e+04 7.665426551284326706e-07 2.424742342554964125e-05 1.077462267130613327e-02
