# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.916868925094604492e-01 2.518637776374816895e-01 1.098125934600830078e+00
1.000000000000000000e+03 2.825036935973912477e-04 2.776960900519043207e-04 3.646314889192581177e-02
2.000000000000000000e+03 5.409863661043345928e-05 8.523175347363576293e-05 2.020086720585823059e-02
3.000000000000000000e+03 8.394314136239700019e-06 4.136946881772018969e-05 1.407373137772083282e-02
4.000000000000000000e+03 2.991117469264281681e-07 3.301879041828215122e-05 1.257331762462854385e-02
5.000000000000000000e+03 4.383646157180010050e-08 3.191808718838728964e-05 1.236197073012590408e-02
6.000000000000000000e+03 2.464724246920013684e-08 3.187308175256475806e-05 1.235325261950492859e-02
7.000000000000000000e+03 4.152788278588559479e-06 3.437482882873155177e-05 1.282890327274799347e-02
8.000000000000000000e+03 2.047800364834984066e-07 3.197071782778948545e-05 1.237215846776962280e-02
9.000000000000000000e+03 1.055702547603232233e-08 3.119328539469279349e-05 1.222080457955598831e-02
1.000000000000000000e+04 7.014410385863811825e-09 3.113620550720952451e-05 1.220961846411228180e-02
