# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.933937311172485352e-01 2.529888451099395752e-01 1.100575923919677734e+00
1.000000000000000000e+03 1.470987917855381966e-04 1.677365071373060346e-04 2.833890356123447418e-02
2.000000000000000000e+03 1.010979758575558662e-05 6.105919601395726204e-05 1.709798164665699005e-02
3.000000000000000000e+03 4.017578021375811659e-07 4.016941238660365343e-05 1.386810094118118286e-02
4.000000000000000000e+03 8.826591368915615021e-08 3.766771988011896610e-05 1.342931855469942093e-02
5.000000000000000000e+03 9.770632658501199330e-08 3.724782436620444059e-05 1.335425674915313721e-02
6.000000000000000000e+03 5.734833621318102814e-07 3.551427653292194009e-05 1.303979568183422089e-02
7.000000000000000000e+03 1.366614160360768437e-04 1.955410989467054605e-04 3.059766441583633423e-02
8.000000000000000000e+03 2.974686630352607608e-08 3.508352529024705291e-05 1.296047493815422058e-02
9.000000000000000000e+03 2.645606045348358748e-08 3.463100802036933601e-05 1.287661958485841751e-02
1.000000000000000000e+04 1.210871829471216188e-07 3.441657463554292917e-05 1.283669099211692810e-02
